店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
サブウェイ 阪大病院店,阪大病院前駅 188m,サンドイッチ,,3.05,30,156,-,-,大阪府吹田市山田丘2-15 大阪大学医学部附属病院 1F,34.81937,135.527527
ファミリーマート 吹田内本町店,吹田（阪急）駅 572m,コンビニ・スーパー,,3.02,1,2,-,-,大阪府吹田市内本町1-22-9,34.757614,135.523209
ヘイズパントリー,千里山駅 150m,パン、洋菓子,,3.03,7,309,-,～￥999,大阪府吹田市千里山西4-7-26 ラヴィール千里山 103,34.778046,135.503952
Brown,豊津駅 374m,その他,,,1,18,-,-,大阪府吹田市円山町4-18 エミネンス千里山 1F,34.767052,135.50708
魚神,豊津駅 13m,海鮮、居酒屋,,3.03,5,59,-,-,大阪府吹田市垂水町1-1-6,34.76408,135.509293
らいむ亭,吹田市,食堂,,3.06,6,63,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市山田西2-1-6,34.790791,135.525604
やきとり 大吉 岸部店,岸辺駅 764m,焼き鳥、居酒屋,,,1,27,-,-,大阪府吹田市岸部中4-21-4,34.781643,135.535492
海鮮居酒屋 波千里,千里山駅 68m,居酒屋、海鮮,,3.03,2,73,-,-,大阪府吹田市千里山東2-28-7 千里山東駅前ビル B1F,34.778305,135.505905
和ごころ　いけうち,山田駅 436m,日本料理、創作料理,,3.07,13,1005,-,"￥2,000～￥2,999",大阪府吹田市山田北10-2 メゾンT　101,34.807159,135.519257
PROST!,万博記念公園駅 898m,その他,,3.03,7,16,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園3-3 パナソニックスタジアム吹田内,34.801788,135.538284
ファミリーマート 名神吹田インター前店,宇野辺駅 465m,コンビニ・スーパー,,,,,-,-,大阪府吹田市青葉丘北7-32,34.807537,135.549042
乃が美 ららぽーとEXPOCITY店,万博記念公園駅 411m,パン,,3.02,9,56,-,-,大阪府吹田市千里万博公園2-1,34.805485,135.53392
デイリーカナート イズミヤ ららぽーとEXPOCITY店,公園東口駅 563m,コンビニ・スーパー,,3.03,8,39,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
扇矢,江坂駅 710m,日本料理,,,7,,-,-,大阪府吹田市江坂町2-12-47,34.764378,135.492767
カフェエデン 江坂店,江坂駅 304m,カフェ、ダイニングバー,,3.49,230,8575,-,"￥1,000～￥1,999",大阪府吹田市江の木町5-26,34.756542,135.494934
鶏三和 ららぽーとEXPOCITY店,万博記念公園駅 466m,親子丼、鳥料理,,3.07,93,469,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
ケープコッド,関大前駅 363m,カフェ、インドネシア料理、創作料理,,3.28,64,1259,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里山東1-10-4,34.77354,135.508469
パントリー 千里藤白台店,吹田市,コンビニ・スーパー,,3.02,3,20,-,-,大阪府吹田市藤白台5-7-66,34.82925,135.504669
Bistro kitchen ENYA,吹田（ＪＲ）駅 208m,ビストロ,,3.05,4,68,-,-,大阪府吹田市元町6-4 6F,34.761497,135.524551
昌,万博記念公園駅 893m,中華料理、居酒屋,,3.02,4,92,-,-,大阪府吹田市山田西3-80-6 白龍,34.800106,135.524704
いこい飯店,北千里駅 56m,中華料理、餃子、からあげ,,3.32,134,5350,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市古江台4-119 ディオス北千里５番館　１Ｆ,34.820126,135.509918
すし松 江坂店,江坂駅 198m,寿司,,3.07,49,469,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市豊津町15-30 東明マンション江坂,34.758183,135.495041
Ami,山田駅 596m,カフェ,,3.06,6,188,-,～￥999,大阪府吹田市山田東4-10-3,34.802197,135.52179
松阪牛麺 吹田店,山田駅 690m,ラーメン、麺類、丼,,3.55,475,15690,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市津雲台7-5-14,34.805748,135.507812
釜寅 江坂店,吹田（阪急）駅 300m,その他,,3,1,2,-,-,大阪府吹田市泉町5-1-1,34.761913,135.516022
ラメール 碧,吹田（ＪＲ）駅 287m,カフェ,,,2,,-,-,大阪府吹田市元町7-9,34.76033,135.525177
らーめん樹希,江坂駅 647m,ラーメン,,3.54,373,10163,～￥999,～￥999,大阪府吹田市垂水町1-55-9,34.764256,135.49823
本当は、仙台からでたかった 俺ずんだ,吹田（ＪＲ）駅 447m,スイーツ,,3.02,2,27,-,-,大阪府吹田市内本町2-1-2,34.759499,135.525589
たこやき きゅうちゃん,吹田（ＪＲ）駅 235m,たこ焼き,,,1,,-,-,大阪府吹田市片山町1-6-1,34.765308,135.523758
鎌倉パスタ Dew阪急山田店,山田駅 55m,パスタ,,3.04,35,118,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市山田西4-1-2,34.804226,135.515244
ほっかほっか亭 南吹田公園,南吹田駅 637m,弁当,,3.01,3,18,-,-,大阪府吹田市南金田2-6-7,34.753071,135.505814
クンテープ 吹田スタジアム店,万博記念公園駅 864m,タイ料理,,3.06,8,65,～￥999,～￥999,大阪府吹田市千里万博公園3-3 吹田スタジアム D4ブロック付近,34.801788,135.538284
なんば寿し,正雀駅 209m,寿司,,,6,,-,-,大阪府吹田市南正雀1-8-5,34.774006,135.547195
カフェ・ド・クリエ ホピタル 国立循環器病研究センター店,岸辺駅 264m,カフェ,,3.01,10,42,-,～￥999,大阪府吹田市岸部新町6-1 国立循環器病研究センター 病院棟 2F,34.77626,135.537354
麺屋 柊助,吹田（ＪＲ）駅 243m,ラーメン、油そば・まぜそば,,3.26,102,1912,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市片山町1-3-5,34.765282,135.522598
寿堂,吹田市,からあげ,,3.02,2,22,-,～￥999,大阪府吹田市山田東1-18-20,34.796257,135.533661
離為火,南吹田駅 593m,喫茶店,,,10,,-,-,大阪府吹田市南吹田5-2-101,34.752163,135.505325
セブンイレブン 吹田上山田店,北千里駅 900m,コンビニ・スーパー,,3,3,9,-,-,大阪府吹田市上山田8-5,34.82642,135.516922
知るcafe 関西大学前店,関大前駅 335m,カフェ,,,1,14,-,-,大阪府吹田市千里山東1-9-16,34.773479,135.508423
高槻バーガー,吹田市,ハンバーガー,,3,1,5,-,-,大阪府吹田市千里万博公園3-3 パナソニックスタジアム吹田,34.801788,135.538284
パン工房 カナール,吹田（ＪＲ）駅 313m,パン,,3.05,7,41,-,-,大阪府吹田市元町7-5,34.76067,135.525024
グリーンマーケットMOA えさか店,江坂駅 392m,その他,,,4,,-,-,大阪府吹田市江の木町16-9 愛和会ビル 1F,34.755287,135.495712
業務スーパー 江坂店,江坂駅 399m,コンビニ・スーパー,,,3,,-,-,大阪府吹田市広芝町15-23,34.755428,135.498795
SOLAYA SWEETS,関大前駅 225m,ジェラート・アイスクリーム、和菓子,,3.02,3,71,-,-,大阪府吹田市千里山東1-6-16 1F,34.772896,135.505859
ピッツェリア カローレ,南千里駅 559m,イタリアン、ピザ、バル,,3.43,145,7259,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市佐竹台2丁目5-13 ルワーブル南千里 1F,34.79084,135.514343
炭火焼き鳥　一鶏。,江坂駅 216m,焼き鳥、焼酎バー,,3.19,33,1653,"￥4,000～￥4,999",-,大阪府吹田市江の木町1-8,34.756763,135.496658
とん東,吹田（ＪＲ）駅 328m,ラーメン,,3.14,38,399,～￥999,"￥1,000～￥1,999",大阪府吹田市朝日町20-9,34.760628,135.525604
麺商 ゴリマツ,関大前駅 201m,ラーメン,,3.07,24,218,～￥999,～￥999,大阪府吹田市千里山東1-6-17,34.772804,135.505844
焼肉かぼちゃ亭,吹田（阪急）駅 233m,焼肉、冷麺、韓国料理,,3.08,10,269,"￥3,000～￥3,999",～￥999,大阪府吹田市内本町1-7-17,34.758701,135.519547
Kitchen BISYOKU,北千里駅 885m,食堂,,3,2,11,-,-,大阪府吹田市山田丘3,34.825222,135.519928
国立民族学博物館 ミュージアム・ショップ,阪大病院前駅 625m,その他,,3.03,4,58,-,-,大阪府吹田市千里万博公園10-1 国立民族学博物館 本館 1F,34.814037,135.52417
大衆酒場順,吹田（ＪＲ）駅 162m,居酒屋,,3.02,2,35,-,-,大阪府吹田市朝日町23-11,34.760868,135.526428
Bar 男心,江坂駅 53m,バー,,,3,,-,-,大阪府吹田市江坂町1-23-35 コーポ江坂ビル 402,34.758148,135.49736
秋吉 江坂店,江坂駅 49m,焼き鳥、串揚げ、居酒屋,,3.08,67,1586,"￥2,000～￥2,999",-,大阪府吹田市江坂町1-23-27 ＧＯＵＴ　１Ｆ,34.757652,135.49762
カフェ ギャラリー ナーズ,関大前駅 358m,カフェ,,,2,15,-,-,大阪府吹田市千里山東1-14-26 前杉ビル 1F,34.773666,135.508194
キャンパス・フード・サービス,正雀駅 327m,学生食堂,,3.02,4,28,-,-,大阪府吹田市岸部南2-36-1 大阪学院大学12号館 1F,34.773399,135.541901
くまpan,南吹田駅 746m,パン,,3.09,14,213,-,～￥999,大阪府吹田市南金田1-11-22,34.754974,135.506393
トラットリア イル フィオレット,山田駅 452m,イタリアン,,3.26,29,4069,"￥8,000～￥9,999","￥8,000～￥9,999",大阪府吹田市山田東4-13-15 アパートメントカリーネ　１Ｆ,34.804855,135.520706
大起水産回転寿司 ららぽーとEXPOCITY店,万博記念公園駅 449m,回転寿司、海鮮,,3.13,99,806,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
セブンイレブン 吹田江の木町店,江坂駅 401m,コンビニ・スーパー,,3.02,3,8,～￥999,-,大阪府吹田市江の木町6-14,34.756657,135.493134
クレヨンハウス,江坂駅 340m,オーガニック,,3.06,17,683,～￥999,～￥999,大阪府吹田市垂水町3-34-24,34.75864,135.500748
ふぐ料理 玄品 吹田,吹田（ＪＲ）駅 286m,ふぐ、鍋、日本料理,,3.01,8,208,"￥6,000～￥7,999",-,大阪府吹田市片山町3-15-18 サンクレオビル 1F,34.765381,135.521973
炭火焼肉 鶴兆 江坂店,江坂駅 181m,焼肉、韓国料理、居酒屋,,3.06,36,980,"￥4,000～￥4,999",～￥999,大阪府吹田市豊津町13-2,34.758602,135.495132
鳥貴族 北千里店,北千里駅 138m,焼き鳥、鳥料理、居酒屋,,3.01,12,184,"￥2,000～￥2,999",-,大阪府吹田市古江台4-2 ディオス北千里8番館B 107,34.820385,135.509125
ままや,吹田（ＪＲ）駅 118m,立ち飲み,,3.21,35,549,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市朝日町2-123 吹田さんくす2番館 B1F,34.763054,135.525436
鈴蘭,吹田市,中華料理,,3.07,11,229,-,～￥999,大阪府吹田市樫切山11-8,34.798519,135.538223
Pane e Trattoria Polvere,北千里駅 146m,イタリアン、パン,,3.09,27,711,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市古江台4-119 ディオス8番館　1F,34.820126,135.509918
居酒屋　大ちゃん,南千里駅 551m,居酒屋,,3.02,2,56,"￥3,000～￥3,999",-,大阪府吹田市佐竹台2-5-17,34.79084,135.514343
ミスタードーナツ 江坂芳野町ショップ,江坂駅 813m,カフェ、ドーナツ、ジェラート・アイスクリーム,,3.07,60,403,-,～￥999,大阪府吹田市芳野町5-32 1F,34.75671,135.488541
ハッケン酒場 関大前店,関大前駅 254m,居酒屋、焼き鳥,,3.01,7,42,-,-,大阪府吹田市千里山東1-7-25,34.773361,135.506302
Salon de フロレゾン,江坂駅 73m,バー,,3.02,1,13,-,-,大阪府吹田市江坂町1-23-33 第7マイダビル 2F,34.757973,135.497345
四季,吹田（ＪＲ）駅 302m,ラーメン,,3.22,78,907,～￥999,"￥1,000～￥1,999",大阪府吹田市片山町3-1-10,34.765255,135.5215
LAWSON HA 阪急南千里店,南千里駅 94m,コンビニ・スーパー,,3.07,1,4,-,-,大阪府吹田市津雲台1-1-1,34.79488,135.510178
イチリキ,関大前駅 288m,居酒屋、イタリアン,,3.08,25,373,～￥999,"￥1,000～￥1,999",大阪府吹田市千里山東1-16-3 アズビー千里山 1F,34.77346,135.506577
ダイニングバー アンビシャス,江坂駅 52m,ダイニングバー、ワインバー,,3.01,1,38,-,-,大阪府吹田市豊津町9-44 ハートランド江坂 301,34.759003,135.49614
栄すし,豊津駅 67m,寿司,,3.06,17,2112,"￥6,000～￥7,999",-,大阪府吹田市垂水町1-2-18,34.764313,135.508789
カフェ ラッキー,南吹田駅 627m,カフェ、喫茶店,,3.06,9,184,"￥2,000～￥2,999",～￥999,大阪府吹田市南金田2-6-5,34.753117,135.505966
らふれーず 千里山店,千里山駅 27m,ケーキ,,3.14,27,308,-,-,大阪府吹田市千里山西1-38-21 アルス千里山西 1F,34.778172,135.505569
らーめん 武双家,関大前駅 220m,ラーメン、つけ麺、餃子,,3.59,331,7411,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里山東1-6-16,34.772896,135.505859
ひとつ家 千里丘店,吹田市,惣菜・デリ,,3,1,4,-,-,大阪府吹田市山田南1-1 イズミヤショッピングセンター千里丘,34.788815,135.538727
カプチーノ,万博記念公園駅 209m,カフェ,,3.02,3,17,-,～￥999,大阪府吹田市千里万博公園1-7,34.809277,135.524734
焼肉冷麺 呉家 吹田竹見店,桃山台駅 366m,焼肉、冷麺、居酒屋,,3.07,11,244,"￥5,000～￥5,999",-,大阪府吹田市竹見台3-6-1 201,34.794193,135.50119
patisserie pazzle,吹田市,ケーキ,,3,7,48,-,-,大阪府吹田市岸部北4-15-5,34.782177,135.530518
餃子の王将 豊津店,豊津駅 674m,中華料理、餃子,,3.03,29,220,～￥999,"￥1,000～￥1,999",大阪府吹田市垂水町1-40-5,34.764122,135.50209
肉うどん 杜都商店,万博記念公園駅 945m,うどん,,,2,6,-,-,大阪府吹田市千里万博公園3-3 パナソニック スタジアム 吹田,34.801788,135.538284
寅辛,南吹田駅 565m,その他,,,6,85,-,-,大阪府吹田市南吹田5-2-5,34.751999,135.50592
石上鮮魚店,吹田（ＪＲ）駅 286m,その他,,,1,5,-,-,大阪府吹田市元町7-3,34.760841,135.524933
たこ焼 常笑,吹田（ＪＲ）駅 481m,たこ焼き,,,16,,-,-,大阪府吹田市内本町2-1-2,34.759499,135.525589
松竹堂 吹田山田本店,万博記念公園駅 892m,和菓子、大福,,3.65,484,15624,-,"￥2,000～￥2,999",大阪府吹田市山田東2-36-2,34.798801,135.528885
モスバーガー 江坂店,江坂駅 142m,ハンバーガー,,3.06,47,231,～￥999,"￥1,000～￥1,999",大阪府吹田市豊津町14-31,34.758724,135.495331
ドミノ・ピザ 千里丘店,千里丘駅 633m,ピザ,,,1,15,-,-,大阪府吹田市長野東12-32 エスト千里丘,34.792084,135.54454
松のや 吹田店,吹田（ＪＲ）駅 287m,とんかつ,,3.01,8,37,-,-,大阪府吹田市昭和町10-19,34.762691,135.526657
すし処 旬魚,山田駅 528m,寿司,,3,1,25,-,"￥1,000～￥1,999",大阪府吹田市山田西4-16-9 ikari王子店,34.802631,135.520935
太鼓亭 吹田金田店,豊津駅 743m,そば、うどん,,3.09,76,444,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市金田町5-21,34.757423,135.508087
勝真,吹田（ＪＲ）駅 309m,居酒屋、鍋、海鮮,,3.03,4,386,"￥3,000～￥3,999",～￥999,大阪府吹田市元町7-4,34.760754,135.524979
B.B. CURRY,桃山台駅 379m,カレー、つけ麺,,3.22,49,1538,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市竹見台3-6-6 竹見台マーケット 1F,34.794193,135.50119
けーきはうす 天使のたまご,豊津駅 289m,ケーキ,,3.05,4,114,-,-,大阪府吹田市出口町30-16 入江マンション 1F,34.765266,135.512177
陽氣楼,江坂駅 241m,創作料理,,3.09,27,704,-,～￥999,大阪府吹田市江坂町1-18-18 江坂パークビル 3F,34.759838,135.499207
すゞや,江坂駅 463m,食堂,,3.02,1,24,-,-,大阪府吹田市江坂町1-10-5,34.762234,135.499741
momomo DONUT & COFFEE,豊津駅 36m,ドーナツ,,3.12,10,236,-,-,大阪府吹田市垂水町2-1-3,34.763924,135.509354
麺屋 蝉 関大前店,関大前駅 269m,ラーメン、つけ麺,,3.43,164,2851,～￥999,"￥1,000～￥1,999",大阪府吹田市千里山東1-7-29 中村ビル 1F,34.773411,135.506729
珉珉 さんくす店,吹田（ＪＲ）駅 113m,中華料理,,3.05,38,317,"￥1,000～￥1,999",～￥999,大阪府吹田市朝日町2,34.763054,135.525436
スターバックスコーヒー ららぽーとEXPOCITY 2階店,万博記念公園駅 536m,カフェ,,3.08,75,291,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F,34.805485,135.53392
ラーメン熊きち,千里丘駅 866m,ラーメン,,3.51,277,7706,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市新芦屋下9-6,34.798973,135.553421
虎寿司 江坂店,江坂駅 392m,寿司、海鮮、日本料理,,3.28,51,2369,"￥5,000～￥5,999",-,大阪府吹田市江の木町8-27,34.757511,135.492889
ヤマダ食堂,吹田（阪急）駅 300m,食堂,,3.02,1,26,-,-,大阪府吹田市寿町1-3-8 1F,34.757984,135.519897
BAR AVANTI,江坂駅 476m,バー,,3.05,5,88,-,-,大阪府吹田市垂水町3-24-12 エレガントビジネス江坂　６Ｆ,34.759796,135.501282
LAWSON 五月ヶ丘東店,吹田市,コンビニ・スーパー,,,1,2,-,-,大阪府吹田市五月が丘東13-23,34.788128,135.530334
さたけん家,南千里駅 578m,カフェ,,3.04,4,52,-,～￥999,大阪府吹田市佐竹台2-5-5,34.79084,135.514343
沖縄料理　居酒屋　こずえ,江坂駅 392m,居酒屋,,3.03,4,116,-,-,大阪府吹田市豊津町5-28,34.761269,135.494202
オステリア エ バール ジェノ,江坂駅 352m,スペイン料理,,3.6,124,11757,"￥6,000～￥7,999",-,大阪府吹田市豊津町5-5,34.760872,135.494446
ビッグワン,緑地公園駅 616m,喫茶店,,3.06,6,186,-,-,大阪府吹田市江坂町4-28-10,34.770195,135.492447
ベーカリー ハナ,吹田（阪急）駅 383m,パン,,3.18,27,1447,-,-,大阪府吹田市内本町1-5-9,34.758301,135.521271
キッコ,吹田（ＪＲ）駅 282m,イタリアン,,3.27,31,1436,-,"￥1,000～￥1,999",大阪府吹田市朝日町17-18 第三丸二ビル 1F,34.761093,135.525406
スシロー 江坂店,江坂駅 178m,回転寿司,,3.07,51,285,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市江の木町2-1 クロッシング江坂 3F,34.757446,135.49585
楽串笑,吹田（ＪＲ）駅 626m,居酒屋,,3.04,4,33,-,-,大阪府吹田市内本町2-7-1,34.757969,135.526047
居酒屋 がたろう,吹田（阪急）駅 486m,居酒屋,,,6,,-,-,大阪府吹田市泉町3-7-8,34.757736,135.512619
松美屋,上新庄駅 480m,焼肉、ホルモン,,3.05,3,83,-,-,大阪府吹田市東御旅町9-29,34.749245,135.527802
喜鈴,江坂駅 710m,お好み焼き,,3.01,3,74,-,-,大阪府吹田市江坂町3-16-10,34.76482,135.494965
らーめん 塩一,宇野辺駅 188m,ラーメン,,3.01,2,70,-,-,大阪府吹田市青葉丘南2-1,34.806507,135.554962
