店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
創作キッチン シャンティ,江坂駅 525m,居酒屋,,3,3,47,-,-,大阪府吹田市豊津町54-1 タカラマンション1F,34.758232,135.491455
多幸や,豊津駅 659m,たこ焼き,,3.02,5,144,～￥999,～￥999,大阪府吹田市垂水町1-29-19,34.764973,135.502319
ロピア 吹田千里丘店,吹田市,コンビニ・スーパー,,3.02,4,34,-,-,大阪府吹田市千里丘北1-2,34.801453,135.547913
千,吹田（ＪＲ）駅 339m,お好み焼き,,3.01,5,61,-,-,大阪府吹田市片山町3-18-1,34.766045,135.522491
LAWSON 吹田青山台三丁目店,吹田市,コンビニ・スーパー,,3,4,6,-,-,大阪府吹田市青山台3-50-10-120,34.82901,135.501038
弁当いろは,吹田市,弁当,,3.04,3,15,-,-,大阪府吹田市五月が丘北1-10,34.789425,135.528091
どうとんぼり神座 ららぽーとEXPOCITY店,万博記念公園駅 448m,ラーメン,,3.06,82,334,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY,34.805485,135.53392
グリーンハウス,関大前駅 282m,インドカレー、インド料理、カレー,,3.03,5,60,～￥999,"￥1,000～￥1,999",大阪府吹田市千里山東1-16-6,34.773422,135.506271
びっくりドンキー 千里店,岸辺駅 902m,ファミレス、ハンバーグ,,3.08,80,345,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市岸部北5丁目11-1,34.784664,135.538574
チルコロ,関大前駅 375m,食堂,,3.06,12,166,-,～￥999,大阪府吹田市千里山東3-10-1 新関西大学会館南棟,34.77549,135.510696
LIFE 桃山台店,桃山台駅 387m,コンビニ・スーパー,,,4,,-,-,大阪府吹田市桃山台2-5-1,34.792896,135.501755
LAWSON HA 阪急山田店,山田駅 48m,コンビニ・スーパー,,3.02,1,3,-,-,大阪府吹田市山田西4-1-1,34.804226,135.515244
源気温泉万博おゆば,山田駅 718m,その他,,3.07,6,19,-,-,大阪府吹田市千里万博公園11-11,34.813622,135.520554
